index,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,x_cv_ascertainment,x_cv_diagnostic_criteria,x_cv_representative,year_end,year_start
33,84,80,,ESP,p,279.0,0.004,male,-0.99,0.038,0.0,1,1,0,1994,1994
34,99,85,,ESP,p,326.0,0.004,female,-0.99,0.032,0.0092024539877,1,1,0,1994,1994
35,74,70,,ESP,p,787.0,0.005,female,-0.99,0.021,0.00381194409148,1,1,0,1994,1994
36,99,85,,ESP,p,196.0,0.0,male,-0.99,0.024,0.0,1,1,0,1994,1994
37,69,65,,ESP,p,739.0,0.002,male,-0.99,0.016,0.00135317997293,1,1,0,1994,1994
38,79,75,,ESP,p,555.0,0.0,female,-0.99,0.011,0.0126126126126,1,1,0,1994,1994
39,69,65,,ESP,p,912.0,0.0,female,-0.99,0.003,0.00219298245614,1,1,0,1994,1994
40,99,85,,ESP,p,80.0,,female,-0.99,,0.0124999999998,1,1,0,1999,1999
41,97,75,,AUS,p,255.0,,female,-99.0,,0.00392156862744,1,1,0,1994,1991
42,99,80,,BGR,p,229.0,,total,-0.00099,,0.00436681222706,0,0,0,1999,1999
43,99,85,,ESP,p,80.0,,female,-0.99,,0.0374999999995,1,1,0,1996,1996
44,84,75,,ESP,p,135.0,,male,-0.99,,0.0,1,1,0,1999,1999
45,84,75,,ESP,p,135.0,,male,-0.99,,0.0,1,1,0,1996,1996
46,84,75,,ESP,p,258.0,,female,-0.99,,0.00387596899223,1,1,0,1999,1999
47,84,75,,ESP,p,258.0,,female,-0.99,,0.00387596899223,1,1,0,1996,1996
48,74,65,,ESP,p,387.0,,female,-0.99,,0.0,1,1,0,1996,1996
49,74,65,,ESP,p,332.0,,male,-0.99,,0.012048192771,0,0,0,1999,1999
50,74,65,,ESP,p,332.0,,male,-0.99,,0.0210843373493,1,1,0,1996,1996
51,74,65,,ESP,p,387.0,,female,-0.99,,0.00516795865632,0,0,0,1999,1999
52,99,85,,ESP,p,23.0,,male,-0.99,,0.0,1,1,0,1999,1999
53,99,85,,ESP,p,23.0,,male,-0.99,,0.0,1,1,0,1996,1996
54,89,80,,ESP,p,1203.0,,male,-0.00099,,0.0249376558603,1,0,0,1995,1987
55,69,60,,LBY,p,4515.0,,female,-0.00099,,0.0,1,1,0,1985,1985
56,59,50,,LBY,p,10650.0,,female,-0.00099,,0.000845070422535,1,1,0,1985,1985
57,79,70,,ESP,p,2633.0,,male,-0.00099,,0.000379794910748,1,0,0,1995,1987
58,79,70,,ESP,p,3346.0,,female,-0.00099,,0.00328750747161,1,0,0,1995,1987
59,99,80,,ARG,p,384.0,,total,-0.00099,,0.015625,0,0,0,1991,1991
60,89,80,,ESP,p,1777.0,,female,-0.00099,,0.00731570061902,1,0,0,1995,1987
61,69,60,,ESP,p,4442.0,,male,-0.00099,,0.0036019810896,1,0,0,1995,1987
62,99,80,,BGR,p,639.0,,total,-0.00099,,0.00625978090766,0,0,0,1999,1999
63,99,90,,ESP,p,244.0,,female,-0.00099,,0.0163934426229,1,0,0,1995,1987
64,69,60,,ESP,p,4282.0,,female,-0.00099,,0.0056048575432,1,0,0,1995,1987
65,59,50,,ESP,p,3502.0,,male,-0.00099,,0.00142775556825,1,0,0,1995,1987
66,59,50,,ESP,p,3487.0,,female,-0.00099,,0.00258101519931,1,0,0,1995,1987
67,49,40,,ESP,p,2840.0,,female,-0.00099,,0.0,1,0,0,1995,1987
68,39,30,,ESP,p,14186.0,,female,-0.00099,,7.04920344001e-05,1,0,0,1995,1987
69,39,0,,ESP,p,15422.0,,male,-0.00099,,0.0,1,0,0,1995,1987
70,49,40,,ESP,p,3225.0,,male,-0.00099,,0.00031007751938,1,0,0,1995,1987
71,99,90,,ESP,p,136.0,,male,-0.00099,,0.00735294117642,1,0,0,1995,1987
72,99,40,,ESP,p,,0.00774,total,-0.099,0.01951,0.00936882648795,1,0,0,1997,1994
73,79,75,,BGR,p,545.0,,total,-0.00099,,0.00917431192659,0,0,0,1999,1999
74,99,40,,ESP,p,721.0,,male,-0.099,,0.0,1,0,0,1997,1994
75,99,40,,ESP,p,858.0,,female,-0.099,,0.0,1,0,0,1997,1994
76,89,85,,ESP,p,45.0,,male,-0.99,,0.0,0,0,0,1989,1988
77,94,90,,ESP,p,20.0,,female,-0.99,,0.0,0,0,0,1989,1988
78,89,85,,ESP,p,142.0,,male,-0.99,,0.00704225352108,0,0,0,1989,1988
79,79,75,,ESP,p,256.0,,female,-0.99,,0.0,0,0,0,1989,1988
80,84,80,,ESP,p,152.0,,male,-0.99,,0.0,0,0,0,1989,1988
81,89,85,,ESP,p,90.0,,female,-0.99,,0.011111111111,0,0,0,1989,1988
82,79,75,,ESP,p,150.0,,male,-0.99,,0.0199999999999,0,0,0,1989,1988
83,84,80,,ESP,p,170.0,,female,-0.99,,0.0,0,0,0,1989,1988
84,79,75,,ESP,p,159.0,,female,-0.99,,0.00628930817606,0,0,0,1989,1988
85,84,80,,ESP,p,114.0,,male,-0.99,,0.00877192982448,0,0,0,1989,1988
86,89,85,,ESP,p,137.0,,female,-0.99,,0.00729927007294,0,0,0,1989,1988
87,94,90,,ESP,p,44.0,,female,-0.99,,0.0,0,0,0,1989,1988
88,94,90,,ESP,p,45.0,,male,-0.99,,0.0,0,0,0,1989,1988
89,74,70,,ESP,p,328.0,,female,-0.99,,0.00914634146339,0,0,0,1989,1988
90,74,70,,ESP,p,71.0,,male,-0.99,,0.0,0,0,0,1989,1988
91,79,75,,BGR,p,2465.0,,total,-0.00099,,0.0194726166329,0,0,0,1999,1999
92,84,80,,ESP,p,150.0,,female,-0.99,,0.0,0,0,0,1989,1988
93,79,75,,ESP,p,152.0,,male,-0.99,,0.0131578947368,0,0,0,1989,1988
94,74,70,,ESP,p,262.0,,male,-0.99,,0.0,0,0,0,1989,1988
95,74,70,,ESP,p,75.0,,female,-0.99,,0.0,0,0,0,1989,1988
96,89,85,,ESP,p,279.0,,total,-0.99,,0.0143369175627,0,0,0,1997,1997
97,84,80,,ESP,p,302.0,,total,-0.99,,0.0099337748344,0,0,0,1997,1997
98,89,85,,ESP,p,637.0,,total,-0.99,,0.00313971742543,0,0,0,1997,1997
99,99,90,,ESP,p,286.0,,total,-0.99,,0.0209790209789,0,0,0,1997,1997
100,79,75,,ESP,p,311.0,,total,-0.99,,0.00964630225077,0,0,0,1997,1997
101,99,90,,ESP,p,89.0,,total,-0.99,,0.0112359550561,0,0,0,1997,1997
102,95,85,,NZL,p,822.0,,female,-0.00099,,0.00608272506082,0,0,0,2005,2005
103,79,75,,ESP,p,618.0,,total,-0.99,,0.00809061488672,0,0,0,1997,1997
104,59,50,,LBY,p,12290.0,,male,-0.00099,,0.00211554109032,1,1,0,1985,1985
105,49,40,,LBY,p,18425.0,,female,-0.00099,,0.000325644504749,1,1,0,1985,1985
106,84,80,,ESP,p,478.0,,total,-0.99,,0.0083682008368,0,0,0,1997,1997
107,74,70,,ESP,p,146.0,,total,-0.99,,0.00684931506845,0,0,0,1997,1997
108,69,65,,ESP,p,868.0,,total,-0.99,,0.00576036866359,0,0,0,1997,1997
109,74,70,,ESP,p,836.0,,total,-0.99,,0.0023923444976,0,0,0,1997,1997
110,99,80,,ARG,p,247.0,,female,-0.00099,,0.0202429149797,0,0,0,1991,1991
111,99,65,,ESP,p,,0.009324,total,-0.00099,0.010696,0.000580933092077,1,1,0,1994,1993
112,49,40,,LBY,p,21123.0,,male,-0.00099,,0.000236708800833,1,1,0,1985,1985
113,65,30,,ESP,p,,5.6e-05,total,-0.00099,0.000104,0.00124645540156,1,1,0,1994,1993
114,99,30,,ESP,i,519608.0,,male,-0.00099,,0.00085833936352,0,0,0,1995,1994
115,99,30,,ESP,i,523810.0,,female,-0.00099,,0.000101181726198,0,0,0,1995,1994
116,79,70,,ARG,p,494.0,,male,-0.00099,,0.00404858299594,0,0,0,1991,1991
117,50,30,,ESP,i,714286.0,,total,-0.00099,,4.19999832e-06,0,0,0,1995,1994
118,54,50,,ESP,i,51948.0,,total,-0.00099,,0.00013475013475,0,0,0,1995,1994
119,59,55,,ESP,i,58480.0,,total,-0.00099,,0.0,0,0,0,1995,1994
120,64,60,,ESP,i,57915.0,,total,-0.00099,,0.000828800828801,0,0,0,1995,1994
121,69,65,,ESP,i,53313.0,,total,-0.00099,,1.87571511639e-05,0,0,0,1995,1994
122,34,30,,north_america_high_income,csmr,,2.98e-08,female,-99.0,1.44e-07,6.22e-08,0,0,0,1990,1990
123,79,70,,ARG,p,1216.0,,total,-0.00099,,0.00328947368421,0,0,0,1991,1991
124,74,70,,ESP,i,40556.0,,total,-0.00099,,0.00039451622448,0,0,0,1995,1994
125,79,75,,ESP,i,32457.0,,total,-0.00099,,0.00169454971193,0,0,0,1995,1994
126,84,80,,ESP,i,21685.0,,total,-0.00099,,0.00175236338483,0,0,0,1995,1994
127,99,85,,ESP,i,13912.0,,total,-0.00099,,0.000790684301323,0,0,0,1995,1994
128,99,30,,FIN,p,92172.0,,male,-0.00099,,0.00243023911817,0,0,0,1992,1992
129,99,30,,FIN,p,104704.0,,female,-0.00099,,0.00419277200489,0,0,0,1992,1992
130,99,70,,IND,p,220.0,,female,-0.00099,,0.0,0,0,0,1993,1992
131,79,70,,ARG,p,722.0,,female,-0.00099,,0.00415512465373,0,0,0,1991,1991
132,99,30,,FIN,i,196864.0,,total,-0.00099,,0.000431770156047,0,0,0,1992,1992
133,99,60,,FRA,smr,,1.96,total,-99.0,5.58,1.79010657842,0,0,0,1993,1988
134,99,30,,GBR,i,,0.000118,total,-0.00099,0.000156,0.000204553507103,0,0,0,2003,2000
135,99,30,,GBR,p,,0.0012,total,-0.00099,0.00173,0.00138570073004,1,1,0,1998,1998
136,99,85,,GBR,p,301.0,,male,-0.00099,,0.0099667774086,0,0,0,1984,1983
137,84,80,,GBR,p,2022.0,,female,-0.00099,,0.00148367952522,0,0,0,1984,1983
138,99,85,,GBR,p,1014.0,,female,-0.00099,,0.0207100591716,0,0,0,1984,1983
139,79,75,,GBR,p,1732.0,,male,-0.00099,,0.0,0,0,0,1984,1983
140,84,80,,GBR,p,768.0,,male,-0.00099,,0.0533854166666,0,0,0,1984,1983
141,74,70,,GBR,p,2804.0,,male,-0.00099,,0.00178316690442,0,0,0,1984,1983
142,79,75,,GBR,p,3564.0,,female,-0.00099,,0.0224466891133,0,0,0,1984,1983
143,92,85,,NZL,p,281.0,,male,-0.00099,,0.0213523131672,0,0,0,2005,2005
144,99,80,,SGP,p,387.0,0.01,male,-99.0,0.03,0.00258397932816,0,0,0,2001,2001
145,74,70,,GBR,p,4405.0,,female,-0.00099,,0.0049943246311,0,0,0,1984,1983
146,64,60,,GBR,p,3739.0,,male,-0.00099,,0.00106980476063,0,0,0,1984,1983
147,69,65,,GBR,p,3464.0,,male,-0.00099,,0.00461893764434,0,0,0,1984,1983
148,69,65,,GBR,p,4730.0,,female,-0.00099,,0.00443974630021,0,0,0,1984,1983
149,49,45,,GBR,p,4280.0,,male,-0.00099,,0.00210280373832,0,0,0,1984,1983
150,39,35,,north_america_high_income,csmr,,4.72e-08,female,-99.0,2.17e-07,9.29e-08,0,0,0,1990,1990
151,54,50,,GBR,p,4525.0,,male,-0.00099,,0.00154696132597,0,0,0,1984,1983
152,64,60,,GBR,p,4601.0,,female,-0.00099,,0.00195609650076,0,0,0,1984,1983
153,59,55,,GBR,p,5181.0,,female,-0.00099,,0.000193012931866,0,0,0,1984,1983
154,59,55,,GBR,p,4458.0,,male,-0.00099,,0.00291610587707,0,0,0,1984,1983
155,54,50,,GBR,p,5155.0,,female,-0.00099,,0.000581959262851,0,0,0,1984,1983
156,44,40,,GBR,p,3774.0,,male,-0.00099,,0.000529941706412,0,0,0,1984,1983
157,49,45,,GBR,p,4902.0,,female,-0.00099,,0.000611995104039,0,0,0,1984,1983
158,44,40,,GBR,p,4226.0,,female,-0.00099,,0.000473260766682,0,0,0,1984,1983
159,99,30,,GBR,i,25000.0,,total,-0.00099,,0.00116,1,1,0,1993,1993
160,99,80,,EST,p,1244.0,0.01216,male,-0.00099,0.01356,0.0024115755627,0,0,0,1996,1996
161,99,30,,GBR,p,151.0,,total,-99.0,,0.0,0,1,0,1995,1995
162,99,80,,GBR,p,1266.0,,male,-0.00099,,0.0236966824644,0,0,0,1997,1997
163,79,70,,EST,p,2813.0,0.01175,male,-0.00099,0.01313,0.000355492356914,0,0,0,1996,1996
164,79,70,,EST,p,6356.0,0.01159,female,-0.00099,0.01296,0.0070799244808,0,0,0,1996,1996
165,99,80,,GBR,p,2607.0,,female,-0.00099,,0.00882240122746,0,0,0,1997,1997
166,79,70,,GBR,p,2810.0,,male,-0.00099,,0.0256227758007,0,0,0,1997,1997
167,84,75,,NZL,p,1591.0,,male,-0.00099,,0.0125707102451,0,0,0,2005,2005
168,44,40,,north_america_high_income,csmr,,9.63e-08,female,-99.0,3.37e-07,1.77e-07,0,0,0,1990,1990
169,79,70,,GBR,p,3540.0,,female,-0.00099,,0.00706214689265,0,0,0,1997,1997
170,69,60,,GBR,p,4289.0,,male,-0.00099,,0.00233154581487,0,0,0,1997,1997
171,84,80,,JPN,p,682.0,,male,-0.00099,,0.00879765395893,1,1,0,2000,2000
172,49,45,,north_america_high_income,csmr,,2.13e-07,female,-99.0,8.86e-07,4.12e-07,0,0,0,1990,1990
173,54,50,,north_america_high_income,csmr,,8.25e-07,female,-99.0,2.67e-06,1.46e-06,0,0,0,1990,1990
174,69,60,,GBR,p,4184.0,,female,-0.00099,,0.00358508604206,0,0,0,1997,1997
175,59,50,,GBR,p,6207.0,,male,-0.00099,,0.00177219268568,0,0,0,1997,1997
176,59,55,,north_america_high_income,csmr,,2e-06,female,-99.0,6.71e-06,3.61e-06,0,0,0,1990,1990
177,64,60,,north_america_high_income,csmr,,6.25e-06,female,-99.0,2.47e-05,1.15e-05,0,0,0,1990,1990
178,59,50,,GBR,p,5714.0,,female,-0.00099,,0.00122506125306,0,0,0,1997,1997
179,49,40,,GBR,p,8696.0,,male,-0.00099,,0.000229990800368,0,0,0,1997,1997
180,39,30,,GBR,p,13333.0,,male,-0.00099,,0.000150003750094,0,0,0,1997,1997
181,69,65,,north_america_high_income,csmr,,1.93e-05,female,-99.0,6.01e-05,3.22e-05,0,0,0,1990,1990
182,99,80,,SGP,p,545.0,0.01,female,-99.0,0.02,0.0275229357798,0,0,0,2001,2001
183,39,30,,GBR,p,11667.0,,female,-0.00099,,0.0,0,0,0,1997,1997
184,74,70,,north_america_high_income,csmr,,5.01e-05,female,-99.0,0.0001629,8.61e-05,0,0,0,1990,1990
185,79,75,,north_america_high_income,csmr,,0.0001204,female,-99.0,0.0003989,0.0002113,0,0,0,1990,1990
186,49,40,,GBR,p,7971.0,,female,-0.00099,,0.000125454773554,0,0,0,1997,1997
187,29,0,,GBR,p,49324.0,,total,-0.00099,,0.0,1,1,0,1997,1997
188,99,80,,north_america_high_income,csmr,,0.000311,female,-99.0,0.0010429,0.000557,0,0,0,1990,1990
189,99,80,,EST,p,3624.0,0.00985,female,-0.00099,0.01112,0.0060706401766,0,0,0,1996,1996
190,99,60,,GBR,smr,,1.5,total,-99.0,6.03,1.34722337519,1,1,0,1990,1980
191,24,20,,north_america_high_income,csmr,,1.92e-08,female,-99.0,1.64e-07,8.25e-08,0,0,0,2005,2005
192,99,60,,GBR,smr,,1.22,total,-99.0,4.68,2.86381227022,1,1,0,1990,1980
193,29,25,,north_america_high_income,csmr,,3e-08,female,-99.0,2.1e-07,1.15e-07,0,0,0,2005,2005
194,74,70,,BGR,p,887.0,,total,-0.00099,,0.00338218714769,0,0,0,1999,1999
195,34,30,,north_america_high_income,csmr,,4.11e-08,female,-99.0,3.27e-07,1.62e-07,0,0,0,2005,2005
196,99,60,,GBR,smr,,1.29,total,-99.0,3.95,1.25273624385,1,1,0,1990,1980
197,99,80,,GBR,p,1624.0,,male,-0.00099,,0.0166256157635,1,1,0,1982,1982
198,99,80,,GBR,p,3832.0,,female,-0.00099,,0.00234864300626,1,1,0,1982,1982
199,79,70,,GBR,p,5463.0,,male,-0.00099,,0.0133626212704,1,1,0,1982,1982
200,79,70,,GBR,p,7781.0,,female,-0.00099,,0.00745405474875,1,1,0,1982,1982
201,69,60,,GBR,p,9155.0,,male,-0.00099,,0.000546149645003,1,1,0,1982,1982
202,69,60,,GBR,p,10000.0,,female,-0.00099,,0.0003,1,1,0,1982,1982
203,59,50,,GBR,p,10870.0,,male,-0.00099,,0.00137994480221,1,1,0,1982,1982
204,39,35,,north_america_high_income,csmr,,7.67e-08,female,-99.0,4.8e-07,2.65e-07,0,0,0,2005,2005
205,59,50,,GBR,p,11111.0,,female,-0.00099,,0.000180001800018,1,1,0,1982,1982
206,84,80,,JPN,p,1759.0,,total,-0.00099,,0.00170551449687,1,1,0,2000,2000
207,50,30,,GBR,p,66667.0,,female,-0.00099,,0.0,1,1,0,1982,1982
208,79,75,,JPN,p,856.0,,male,-0.00099,,0.00700934579438,0,0,0,1994,1992
209,50,30,,GBR,p,66667.0,,male,-0.00099,,4.49997750011e-05,1,1,0,1982,1982
210,70,61,,IND,p,450.0,,female,-0.00099,,0.0133333333333,0,0,0,1993,1992
211,99,85,,GBR,p,1100.0,,male,-0.00099,,0.0163636363636,0,0,0,1989,1989
212,84,80,,GBR,p,3901.0,,female,-0.00099,,0.0143552935145,0,0,0,1989,1989
213,84,80,,GBR,p,2100.0,,male,-0.00099,,0.0209523809524,0,0,0,1989,1989
214,39,30,,LBY,p,207392.0,,female,-0.00099,,9.6435735226e-06,1,1,0,1985,1985
215,79,75,,GBR,p,3701.0,,male,-0.00099,,0.0021615779519,0,0,0,1989,1989
216,74,70,,BGR,p,4120.0,,total,-0.00099,,0.00679611650485,0,0,0,1999,1999
217,84,75,,NZL,p,2914.0,,female,-0.00099,,0.00171585449554,0,0,0,2005,2005
218,74,70,,GBR,p,5102.0,,male,-0.00099,,0.0113680909447,0,0,0,1989,1989
219,99,85,,GBR,p,3399.0,,female,-0.00099,,0.017652250662,0,0,0,1989,1989
220,74,70,,JPN,p,1263.0,,male,-0.00099,,0.00950118764845,0,0,0,1994,1992
221,79,75,,GBR,p,5297.0,,female,-0.00099,,0.00358693600151,0,0,0,1989,1989
222,44,40,,north_america_high_income,csmr,,1.5e-07,female,-99.0,1.1e-06,5.65e-07,0,0,0,2005,2005
223,74,70,,GBR,p,6198.0,,female,-0.00099,,0.00774443368829,0,0,0,1989,1989
224,84,80,,JPN,p,707.0,,female,-0.00099,,0.004243281471,0,0,0,1994,1992
225,69,65,,GBR,p,6295.0,,male,-0.00099,,0.00238284352661,0,0,0,1989,1989
226,69,65,,GBR,p,7394.0,,female,-0.00099,,0.000811468758453,0,0,0,1989,1989
227,84,80,,JPN,p,1077.0,,female,-0.00099,,0.00371402042711,1,1,0,2000,2000
228,69,60,,ARG,p,960.0,,male,-0.00099,,0.00104166666667,0,0,0,1991,1991
229,64,60,,GBR,p,6699.0,,male,-0.00099,,0.00238841618152,0,0,0,1989,1989
230,99,40,,ARG,p,3398.0,,male,-0.00099,,0.00941730429664,0,0,0,1991,1991
231,49,45,,north_america_high_income,csmr,,2.97e-07,female,-99.0,2.27e-06,1.2e-06,0,0,0,2005,2005
232,59,55,,GBR,p,6593.0,,male,-0.00099,,0.000455028060064,0,0,0,1989,1989
233,64,60,,GBR,p,7080.0,,female,-0.00099,,0.00338983050847,0,0,0,1989,1989
234,74,70,,JPN,p,1523.0,,female,-0.00099,,0.0105055810899,0,0,0,1994,1992
235,54,50,,GBR,p,8182.0,,male,-0.00099,,0.00171107308726,0,0,0,1989,1989
236,54,50,,north_america_high_income,csmr,,1.07e-06,female,-99.0,4.69e-06,2.66e-06,0,0,0,2005,2005
237,70,61,,IND,p,400.0,,male,-0.00099,,0.0,0,0,0,1993,1992
238,59,55,,GBR,p,4598.0,,female,-0.00099,,0.000434971726838,0,0,0,1989,1989
239,54,50,,GBR,p,7692.0,,female,-0.00099,,0.000260010400416,0,0,0,1989,1989
240,49,45,,GBR,p,10000.0,,female,-0.00099,,0.0003,0,0,0,1989,1989
241,49,45,,GBR,p,11111.0,,male,-0.00099,,0.000540005400054,0,0,0,1989,1989
242,99,85,,JPN,p,414.0,,male,-0.00099,,0.00483091787438,1,1,0,2000,2000
243,79,70,,JPN,p,2786.0,,female,-0.00099,,0.000717875089734,1,0,0,1985,1985
244,44,40,,GBR,p,12500.0,,male,-0.00099,,8e-05,0,0,0,1989,1989
245,40,30,,GBR,p,100000.0,,female,-0.00099,,4e-05,0,0,0,1989,1989
246,44,40,,GBR,p,12500.0,,female,-0.00099,,0.0008,0,0,0,1989,1989
247,40,0,,GBR,p,66667.0,,male,-0.00099,,0.0,0,0,0,1989,1989
248,99,30,,GBR,i,13130.0,,total,-0.0099,,0.000609291698401,0,0,0,1989,1989
249,99,30,,GBR,p,250000.0,,total,-0.00099,,0.000836,1,1,0,1984,1984
250,39,0,,LBY,p,218140.0,,male,-0.00099,,9.16842394792e-06,1,1,0,1985,1985
251,99,30,,LBY,i,518745.0,,total,-0.00099,,9.4458741771e-05,0,0,0,1985,1985
252,99,30,,TUN,p,34874.0,,total,-0.00099,,0.00739806159316,1,1,0,1990,1985
253,99,30,,GBR,i,250000.0,,total,-0.00099,,0.001124,0,0,0,1984,1984
254,99,60,,ISR,p,14646.0,,total,-0.00099,,0.00177522873139,0,0,0,1998,1998
255,59,55,,north_america_high_income,csmr,,2.88e-06,female,-99.0,1.16e-05,6.69e-06,0,0,0,2005,2005
256,64,60,,north_america_high_income,csmr,,7.24e-06,female,-99.0,2.82e-05,1.76e-05,0,0,0,2005,2005
257,69,65,,north_america_high_income,csmr,,2.04e-05,female,-99.0,7.35e-05,4.64e-05,0,0,0,2005,2005
258,99,40,,ARG,p,7765.0,,total,-0.00099,,0.0203477141017,0,0,0,1991,1991
259,74,70,,north_america_high_income,csmr,,6.02e-05,female,-99.0,0.0001976,0.0001291,0,0,0,2005,2005
260,59,40,,ISR,p,38458.0,,total,-0.00099,,0.000338031098861,0,0,0,1998,1998
261,79,75,,JPN,p,1254.0,,male,-0.00099,,0.000797448165869,1,1,0,2000,2000
262,69,60,,ARG,p,2198.0,,total,-0.00099,,0.00682438580527,0,0,0,1991,1991
263,39,30,,ISR,p,23663.0,,total,-0.00099,,8.45201369226e-05,0,0,0,1998,1998
264,79,75,,JPN,p,1104.0,,female,-0.00099,,0.0,0,0,0,1994,1992
265,69,65,,BGR,p,1116.0,,total,-0.00099,,0.00268817204301,0,0,0,1999,1999
266,99,40,,ISR,p,64185.0,,total,-0.00099,,0.00923891875049,1,1,1,1994,1989
267,89,80,,ITA,p,849.0,,male,-0.00099,,0.0176678445229,1,0,0,1991,1991
268,79,70,,ITA,p,2004.0,,male,-0.00099,,0.0159680638722,1,0,0,1991,1991
269,89,80,,ITA,p,1927.0,,female,-0.00099,,0.00570835495589,1,0,0,1991,1991
270,79,70,,ITA,p,3145.0,,female,-0.00099,,0.000635930047695,1,0,0,1991,1991
271,69,60,,ITA,p,3710.0,,male,-0.00099,,0.0010781671159,1,0,0,1991,1991
272,69,60,,ITA,p,4617.0,,female,-0.00099,,0.000216590859866,1,0,0,1991,1991
273,99,50,,ITA,p,,0.00138,total,-0.00099,0.00204,0.0057128574029,1,0,0,1991,1991
274,59,50,,ITA,p,4200.0,,male,-0.00099,,0.000714285714286,1,0,0,1991,1991
275,59,50,,ITA,p,4476.0,,female,-0.00099,,0.000223413762288,1,0,0,1991,1991
276,49,0,,ITA,p,17946.0,,female,-0.00099,,5.57227237267e-05,1,0,0,1991,1991
277,49,0,,ITA,p,18672.0,,male,-0.00099,,5.35561268209e-05,1,0,0,1991,1991
278,74,70,,TUR,p,59.0,,female,-0.99,,0.0,1,0,0,2000,1999
279,99,85,,JPN,p,1341.0,,total,-0.00099,,0.00820283370618,1,1,0,2000,2000
280,79,70,,SGP,p,1266.0,0.0,male,-99.0,0.01,0.0134281200632,0,0,0,2001,2001
281,79,75,,north_america_high_income,csmr,,0.000136,female,-99.0,0.000469,0.0003188,0,0,0,2005,2005
282,69,65,,ITA,i,,5e-05,female,-0.00099,0.00449,0.0,0,0,0,1996,1992
283,69,60,,EST,p,9367.0,0.00509,female,-0.00099,0.00601,0.00640546599765,0,0,0,1996,1996
284,99,70,,IND,p,250.0,,male,-0.00099,,0.00399999999998,0,0,0,1993,1992
